ac_male,ac_female,short,time,department,d_male,d_female,v_male,v_female
410,70,Civil,(27 October 2019),Civil Engineering,0.8541666666666666,0.14583333333333334,0.1335940045617465,0.11513157894736842
145,90,Urban,(27 October 2019),Urban and Regional Planning,0.6170212765957447,0.3829787234042553,0.047246660149885954,0.14802631578947367
83,37,Architecture,(27 October 2019),Architecture,0.6916666666666667,0.30833333333333335,0.027044639947865753,0.06085526315789474
433,50,Electrical,(27 October 2019),Electrical and Electronic Engineering,0.8964803312629399,0.10351966873706005,0.14108830237862496,0.08223684210526316
386,96,Computer,(27 October 2019),Computer Science and Engineering,0.8008298755186722,0.1991701244813278,0.1257738677093516,0.15789473684210525
180,59,Electronics,(27 October 2019),Electronics and Communication Engineering,0.7531380753138075,0.24686192468619247,0.05865102639296188,0.09703947368421052
79,41,Biomedical,(27 October 2019),Biomedical Engineering,0.6583333333333333,0.3416666666666667,0.025741283805799934,0.06743421052631579
149,30,Material,(27 October 2019),Material Science and Engineering,0.8324022346368715,0.16759776536312848,0.04855001629195178,0.049342105263157895
468,13,Mechanical,(27 October 2019),Mechanical Engineering,0.972972972972973,0.02702702702702703,0.15249266862170088,0.02138157894736842
205,34,Industrial,(27 October 2019),Industrial Engineering and Management,0.8577405857740585,0.14225941422594143,0.06679700228087325,0.05592105263157895
202,34,Leather,(27 October 2019),Leather Engineering,0.8559322033898306,0.1440677966101695,0.06581948517432389,0.05592105263157895
209,25,Textile,(27 October 2019),Textile Engineering,0.8931623931623932,0.10683760683760683,0.06810035842293907,0.04111842105263158
72,17,Energy,(27 October 2019),Energy Science and Engineering,0.8089887640449438,0.19101123595505617,0.02346041055718475,0.027960526315789474
26,4,Chemical,(27 October 2019),Department of Chemical Engineering,0.8666666666666667,0.13333333333333333,0.008471814923427827,0.006578947368421052
22,8,Mechatronics,(27 October 2019),Department of Mechatronics Engineering,0.7333333333333333,0.26666666666666666,0.007168458781362007,0.013157894736842105
